"","uid","memory","expectation","target","Test_T1_suspectIdentified","confidence_rating","justification_justification","demographics_age","demographics_gender","demographics_country","CID","Miss","TPFoilID","CR","TAFoilID"
"51",4650987495096320,"S","H","P","F147",60,"I looked at the eyes and the shape of their faces and the color of their hair. The one I chose resembled the girl in the video to me.",58,"female","USA",0,0,1,0,0
"52",4652451542073344,"S","H","P","F68",30,"It was hard but the hair and facial features seem very similar in the photo I chose to the video",35,"male","USA",1,0,0,0,0
"53",4652911103574016,"W","L","A","F147",80,"The girl I chose was very similar if not the girl in the video. The girl in the picture has straight hair and the girl in the video had curly hair but the disclaimer said hair subject to change. Their faces were very similar. ",36,"female","USA",0,0,0,0,1
"54",4652952526520320,"S","H","P","F68",100,"I recognized the face.",21,"male","USA",1,0,0,0,0
"55",4653704414232576,"S","H","A","F147",20,"I felt that this woman looked the closest to who I thought was in the original lineup. ",27,"female","USA",0,0,0,0,1
"56",4655137440137216,"W","L","A","F71",10,"It was a total guess.",26,"female","USA",0,0,0,0,1
"57",4656184539742208,"S","H","A","F147",20,"She was white with a broad face ",35,"female","USA",0,0,0,0,1
"58",4657627648753664,"W","L","P","F34",50,"I just tried to picture the face in my mind without assuming anything about the hair.",40,"male","USA",0,0,1,0,0
"59",4657982453317632,"S","L","P","F68",60,"I remembered the hair and very little of the features of the face, that was my best guess and the one who struck me first.",23,"male","USA",1,0,0,0,0
"60",4658256593027072,"S","L","A","Silhouette",50,"I remember her having a more angry face, and envisioning her with more relaxed features doesn't seem fitting with the line up here.",36,"female","USA",0,0,0,1,0
"61",4659869487464448,"S","H","P","F71",0,"I don't have a particular reason, pretty sure I wouldn't be able to pick her out of a lineup.",61,"female","USA",0,0,1,0,0
"62",4660098462908416,"S","L","A","F147",40,"I remember her having a square face that wasn't well defined, with a chin that's kind of squat.",37,"female","USA",0,0,0,0,1
"63",4661538434580480,"S","L","A","F147",79,"I looked for a young woman whose facial features were similar to the girl in the video.The person I selected looked like the girl from the original video clip. I recognized the photo almost immediately. The hair color and texture as well as the shape of the face were probably the most important information for my identification.",52,"male","USA",0,0,0,0,1
"64",4664742211747840,"W","L","P","F147",60,"The features were similar to the person in the original video along with hair texture. ",46,"female","USA",0,0,1,0,0
"65",4665795686694912,"S","H","P","F68",85,"I used the information I saw in the video",34,"male","USA",1,0,0,0,0
"66",4666206258724864,"S","H","A","F147",80,"I looked for the hair and facial features I thought I saw.",44,"female","USA",0,0,0,0,1
"67",4666378728505344,"S","H","P","F50",40,"I looked at the hair style",26,"female","USA",0,0,1,0,0
"68",4667609152749568,"W","H","P","F68",90,"She kind of had a neutral look on her face and I remember her hair being kind of curly. I'm pretty sure it's the same person",25,"male","USA",1,0,0,0,0
"69",4667857270996992,"S","H","P","F68",70,"Yes, I remembered the person from the first video had a pronounced chin. So i went with the person in the line up that looked similar ",34,"male","USA",1,0,0,0,0
"70",4669724105375744,"W","L","P","F68",40,"You only briefly saw the person's face, but her face reminded me of Robin from Sister Wives and also someone I went to college with. So I then tried to pick the face that was most similar. I wasn't super confident, so in real life I don't know if I would be confident enough to say it was definitely her in the last line up. ",32,"female","USA",1,0,0,0,0
"71",4670868496056320,"S","L","P","F50",30,"Her hair was the same, but I do not remember seeing her face very well. She looked younger though.",48,"female","USA",0,0,1,0,0
"72",4672217384222720,"W","L","P","F147",75,"The woman in the original video looked mad and the frown and eyes look the same.",41,"female","USA",0,0,1,0,0
"73",4672923721793536,"S","H","P","F68",75,"The overall shape of the face and nose seemed similar.",31,"male","USA",1,0,0,0,0
"74",4674586008354816,"W","H","A","F147",100,"I used my memory in order to pick out who it was ",27,"male","USA",0,0,0,0,1
"75",4674959402074112,"S","H","P","F147",75,"I remembered her face and hair.",40,"male","USA",0,0,1,0,0
"76",4675829049065472,"S","L","P","F68",100,"i remember that face from the first video",20,"male","USA",1,0,0,0,0
"77",4676863129550848,"S","L","P","F34",10,"I tried my best to remember the facial features but could remember that well. So I just went with who I thought looked the closest. ",24,"male","USA",0,0,1,0,0
"78",4677178339885056,"W","H","A","F147",80,"First I tried to identify the eyes, then I tried to focus on the hair color and style. ",30,"male","USA",0,0,0,0,1
"79",4677996749258752,"W","L","A","F147",100,"HERR FACE JUST STUCK OUT WHEN I SAW THE LINEUP, I HAVE NO DOUBT THAT ITS HER",24,"female","USA",0,0,0,0,1
"80",4678683407155200,"S","H","P","F68",20,"Well, I am not confident. But if I was going to choose one of these, that would be the one I would choose. Or, none, because I am not confident. ",33,"female","USA",1,0,0,0,0
"81",4679236837179392,"W","H","P","Silhouette",25,"No one stood out to me. Based on that I said they were not present.",37,"male","USA",0,1,0,0,0
"82",4680061823221760,"W","L","P","F50",75,"Her eyes and nose looked like the girl from the original video",35,"female","USA",0,0,1,0,0
"83",4680905700409344,"W","H","P","F68",40,"I rmember long and wavy hair from the  original video",34,"female","USA",1,0,0,0,0
"84",4681723757461504,"W","H","P","Silhouette",0,"the original video was observed pure in gray, it must be failed at the beginning of the test",31,"male","USA",0,1,0,0,0
"85",4682963996377088,"S","H","A","F147",50,"I looked at all of the faces for a while, but that first one is the one I was immediately drawn to and none of the others sparked recognition.  Hopefully I'm right.",31,"female","USA",0,0,0,0,1
"86",4684779442143232,"S","L","P","Silhouette",95,"I have a clear image in my head of what the person from the original video looked like and none of the women in the lineup looks close enough to the image in my head. I was paying particular attention to their faces and head shape and not their hair or anything else.",32,"male","USA",0,1,0,0,0
"87",4685058933784576,"W","L","P","F68",40,"Thought her hair and face similar, but not sure if her.",32,"female","USA",1,0,0,0,0
"88",4685827732930560,"S","H","P","F147",100,"The face looked exactly what i saw in the original video.",25,"other","USA",0,0,1,0,0
"89",4687003698331648,"W","H","A","F147",55,"Only one woman looked familiar to me, so I thought there was a good chance that was her. I wouldn't have picked her, except that you said the woman is present for 80% of the lineups, so I figured she was more likely to be the correct one than not.",39,"male","USA",0,0,0,0,1
"90",4687077434195968,"S","L","P","F176",50,"I tried to think back to the video and picture in my mind the details of that persons face. It was difficult to choose, but I feel the choice I made could be the right one. I have low confidence in it however. ",35,"male","USA",0,0,1,0,0
"91",4687459501735936,"S","H","A","F88",70,"The female in the photo looked just like the female from the video to me.",28,"female","USA",0,0,0,0,1
"92",4688311230660608,"S","H","P","F68",85,"She looked similar to the person in the original video.",23,"male","USA",1,0,0,0,0
"93",4688441572851712,"S","H","A","F177",80,"It was hard to remember if it was the girl I picked, but based on the face shape and the eyes when she looked at the camera I think this was the person in the original video.",31,"male","USA",0,0,0,0,1
"94",4689681660772352,"S","H","P","F68",90,"I remember the facial structure and hairstyle. They looked similar ",28,"male","USA",1,0,0,0,0
"95",4689906425135104,"W","H","P","Silhouette",80,"I didn't think any of the photos looked like the female in the original video",45,"female","USA",0,1,0,0,0
"96",4690921698361344,"W","H","A","F147",80,"I just went by what I felt her face looked like.. the shape",44,"male","USA",0,0,0,0,1
"97",4691664996139008,"W","L","A","F147",40,"I tried to replay the video and freeze my playback on when she looks up briefly at the camera.  It was easy to block out the guys because they were not in the original but I am not sure I am correct with the gal I picked.",49,"female","USA",0,0,0,0,1
"98",4692912013049856,"S","H","A","F147",60,"She looks like she has the same hair and same shape of face",43,"female","USA",0,0,0,0,1
"99",4693198433681408,"S","H","A","F147",85,"I looked at each face and tried to recall the video.",24,"male","USA",0,0,0,0,1
"100",4696468598292480,"S","H","A","Silhouette",20,"none of them looked like her",25,"female","USA",0,0,0,1,0
"101",4696697422741504,"S","H","A","F147",50,"I just chose the one that seemed to look like the girl I remembered.",27,"male","USA",0,0,0,0,1
"102",4697083835580416,"W","H","P","F68",50,"I tried to remember the shape of her face and her eyes.",39,"female","USA",1,0,0,0,0
"103",4699311245885440,"W","H","P","F147",60,"He forehead, eyebrows and shape of her head were similar to the girl in the video.",31,"male","USA",0,0,1,0,0
"104",4701274448592896,"W","H","P","F68",30,"The facial features looked the same.",62,"male","USA",1,0,0,0,0
"105",4701756508340224,"W","L","P","F68",100,"The girl has a chiseled jaw of sorts, and her face was so familiar I felt sure I was making the right choice.",26,"female","USA",1,0,0,0,0
"106",4701988168138752,"S","H","A","F147",40,"I tried to use the shape of the face I remembered",23,"male","USA",0,0,0,0,1
"107",4703377506172928,"S","H","P","F68",50,"I was looking at hairstyle and eyes. I'm not necessarily 100% sure that this was the original person in the video, but her eyes have a similar expression to the girl in the video, and her hair looks like it could have been style similarly to the original woman as well. ",31,"female","USA",1,0,0,0,0
"108",4704236633849856,"W","H","A","F147",10,"By the hair and the face. Looked the closest to what I remembered.",41,"female","USA",0,0,0,0,1
"109",4705227244568576,"W","H","P","F68",85,"I simply recognized her face. I did look over the other photographs after identifying her to be sure.",29,"female","USA",1,0,0,0,0
"110",4707914954571776,"S","H","A","F147",33,"She just looks like her, the hair looks different but based off the faces I think that this is her. ",33,"male","USA",0,0,0,0,1
"111",4708420535975936,"W","L","P","F147",99,"The face looked like her.",49,"male","USA",0,0,1,0,0
"112",4709606685147136,"W","L","P","Silhouette",75,"I looked at the images, and even though they were similar, they were not an exact match in my mind. ",33,"male","USA",0,1,0,0,0
"113",4710282421075968,"W","L","P","F147",55,"The young lady has a certain head size from the other women in the lineup.",30,"female","USA",0,0,1,0,0
"114",4710919938506752,"W","L","A","F147",60,"I just compared this photo with the image in my memory from the first video.",64,"male","USA",0,0,0,0,1
"115",4713512773353472,"W","L","P","F68",60,"I made note of a person I know who looked like the girl, and I think that is the right person.",26,"female","USA",1,0,0,0,0
"116",4714105797607424,"S","L","P","Silhouette",50,"did not recognize her",46,"female","USA",0,1,0,0,0
"117",4714809853476864,"W","H","P","F147",50,"her eyebrows looked similar as thats all i really saw in original video",37,"female","USA",0,0,1,0,0
"118",4715202020900864,"S","L","P","F68",90,"I could still remember the woman's hairstyle, with an overall impression of her face feature.",26,"male","USA",1,0,0,0,0
"119",4715596553912320,"S","H","A","F147",95,"her expression and her hair",35,"female","USA",0,0,0,0,1
"120",4715661582401536,"W","H","P","F68",95,"It was the shape of her jaw, the wave in her hair (even though the style and lighting is different).  Also, the eyes.",55,"female","USA",1,0,0,0,0
"121",4716162751397888,"S","H","A","F147",60,"I'm actually not completely confident this is the right lady.  However, the one I chose looks very similar to the lady in the original video.  However, I didn't want to say that the person wasn't present, because there's only a 20 percent chance that's the case.",32,"male","USA",0,0,0,0,1
"122",4716981009776640,"S","H","P","F147",50,"the one i selected looked similar to my memory of the original actress",33,"male","USA",0,0,1,0,0
"123",4721012105019392,"S","H","A","F147",80,"I eliminated the people who looked nothing like the person I saw then selected the one I thought was correct from the remaining",38,"male","USA",0,0,0,0,1
"124",4721765603344384,"W","H","A","Silhouette",60,"I didn't recall seeing any of those girls in the video.",33,"male","USA",0,0,0,1,0
"125",4722261806284800,"S","L","P","F71",40,"I felt the original girl had softer facial features and so I picked someone that had soft facial features. I also felt she was smaller. ",32,"female","USA",0,0,1,0,0
"126",4723495602749440,"S","L","P","F68",80,"I Think that face shape is similar ",29,"male","USA",1,0,0,0,0
"127",4723883693309952,"S","H","P","F176",80,"I think that girl image are same ",45,"female","USA",0,0,1,0,0
"128",4724434187321344,"S","L","P","F68",85,"I just remembered her face and found the closest looking woman in the lineup. I remember her hair, specifically.",29,"female","USA",1,0,0,0,0
"129",4724478546280448,"W","H","P","F147",55,"I think her face matches what I remember, the eyebrows mostly.",34,"male","USA",0,0,1,0,0
"130",4726756355342336,"W","L","P","F147",85,"The face shape seemed to best fit with the original along with the age.  There was also something about her eye shape that looked too familiar to bypass.  Given the age and shape of the rest in the lineup, this was my best option and likely the original person.",42,"male","USA",0,0,1,0,0
"131",4727996392931328,"W","H","P","F68",65,"The face silhouette.",37,"male","USA",1,0,0,0,0
"132",4728382805770240,"S","L","P","F68",75,"The hair and face shape was close the closest to the face I remember from the original video.",26,"male","USA",1,0,0,0,0
"133",4730019993616384,"W","H","A","F147",95,"The person from the original video looks like the same person I have selected in the line up.The face cut and eyes seems to be same.",38,"female","USA",0,0,0,0,1
"134",4731881794830336,"S","H","P","F68",70,"I remembered her face and am quite sure.",46,"female","USA",1,0,0,0,0
"135",4731907178758144,"S","H","P","F177",40,"The eyes looked most like her and the hairstyle rearranged.",37,"female","USA",0,0,1,0,0
"136",4732355247865856,"S","L","P","F34",75,"The shape of her face and eyes lead me to believe that this is the person I saw in the original lineup from my recollection. ",48,"male","USA",0,0,1,0,0
"137",4734060886753280,"W","L","P","Silhouette",70,"I didn't see the facial features I thought I recalled of the person from the first video.",51,"female","USA",0,1,0,0,0
"138",4735110955925504,"W","L","P","F68",12,"I thought the woman I picked looked familiar. It was a very weak guess.",38,"female","USA",1,0,0,0,0
"139",4735675660238848,"W","H","P","Silhouette",30,"Some of the features of the ladies were similar such as hair and some had the same shape of face, but I do not think any of those were her.",38,"female","USA",0,1,0,0,0
"140",4737172540227584,"W","H","A","F134",50,"The person that I clicked looked like the woman I saw in the first video. Her hair was a little different, but I think that was the same woman. ",32,"female","USA",0,0,0,0,1
"141",4739021305544704,"W","H","P","F176",60,"I thought back about that video and her facial features and tried to match it. ",40,"male","USA",0,0,1,0,0
"142",4741237240233984,"S","H","P","F147",50,"Her face just stood out to me and the hair looked familiar",48,"female","USA",0,0,1,0,0
"143",4741456149348352,"S","L","P","F176",16,"I just though that she sort of looked like the woman in the video, but I do not have a high degree of certainty.",34,"male","USA",0,0,1,0,0
"144",4742905784696832,"W","L","P","F68",20,"I remembered the woman had brown hair and she had a kind of RBF going on. ",21,"male","USA",1,0,0,0,0
"145",4747829562048512,"S","L","P","F34",50,"she looks like her, her facial features and the color of her hair ",44,"female","USA",0,0,1,0,0
"146",4748449631174656,"W","H","P","Silhouette",30,"None of them looked familiar to me",52,"male","USA",0,1,0,0,0
"147",4748865102151680,"W","L","A","F34",30,"I'm not confident in my answer, but I remember her being a young girl, in fairly good shape.",37,"female","USA",0,0,0,0,1
"148",4749532701130752,"W","L","P","F68",75,"She looked the most like the person I saw in the original video.  ",40,"female","USA",1,0,0,0,0
"149",4751274444587008,"S","L","A","F147",50,"From what I could remember of the original video, the two faces looked very similar to me.",35,"male","USA",0,0,0,0,1
"150",4751749927665664,"W","L","P","F147",65,"Honestly, some of the others seemed to have less of a fuller face. I narrowed it down to two. I think it was the one I selected because her face was the most familiar. ",39,"female","USA",0,0,1,0,0
"151",4752524414287872,"W","L","P","F68",95,"I recalled from memory the face of the young lady in the original video. ",41,"female","USA",1,0,0,0,0
"152",4752590248083456,"W","L","A","F176",85,"She looked like the woman I saw.",25,"male","USA",0,0,0,0,1
"153",4753332740554752,"S","H","P","F68",60,"The facial features of the woman in the lineup I chose seemed to be the same as the woman in the video. The eyes, nose and mouth were a part of what helped me identify what I think is the same woman.   There was one other woman in the lineup near her that would have been my second choice. I am not certain I am correct.",47,"male","USA",1,0,0,0,0
"154",4754230053175296,"S","H","A","Silhouette",60,"I went by the facial features I remembered as well as the hair. ",36,"female","USA",0,0,0,1,0
"155",4755051599888384,"W","H","A","F147",85,"I recall her looking up at camera as she exited room .. this may sound trivial but bear with me as I describe my technique, she reminded me of the Actress playing Asumpta in the TV show Ballykissangel .. yes, she had an attractive Irish look with full brunette hair and the nicely angular face, with an attractive chin and nose and eye symmetry.  During the line-up I was looking for an Irish looking girl with brunette hair and a pretty face framed by a hairstyle that I could duplicate by holding my fingers on screen and covering sides of her face .. the girl I honestly believe I saw in first video I chose .. second from the left .. I stand by that decision.",63,"male","USA",0,0,0,0,1
"156",4755167228461056,"S","H","P","Silhouette",40,"She had darker hair and her eyebrows were a little more arched.  At least from what I can remember.",38,"male","USA",0,1,0,0,0
"157",4756012800147456,"S","L","P","Silhouette",0,"I believe UI made a mistake.  Was thinking of the two of the young men instead of the original.",81,"female","USA",0,1,0,0,0
"158",4756328362803200,"S","H","P","F147",60,"I based my decision primarily on face type. I tried to ignore hairstyle and other changeable cues.",49,"female","USA",0,0,1,0,0
"159",4757828245913600,"W","H","P","F68",2,"I am carefully watched the vedio.So i was choosed the correct decison.",44,"male","USA",1,0,0,0,0
"160",4762033740316672,"W","H","A","Silhouette",60,"I didn't use any method, I am just going by what I remember. I just don't see anyone that looks like the girl in my head (number two looks the closest). If forced to say, I'd say mostly the noses were off. I am not at all that confident in my choice.",50,"male","USA",0,0,0,1,0
"161",4762920332296192,"W","H","A","F50",65,"When looking at the faces I tried to remember the original face and then match as close as I could mentally and then I went off my gut feeling. ",34,"male","USA",0,0,0,0,1
"162",4764176660561920,"W","H","P","Silhouette",30,"Was looking for general features I recalled to the best of my ability such as, cheek bones, hair, eyes and general overall facial demeanor.",64,"male","USA",0,1,0,0,0
"163",4764919958339584,"W","H","P","F177",50,"I remembered wavy hair and tried to remember facial features",26,"female","USA",0,0,1,0,0
"164",4765011025068032,"W","L","A","Silhouette",50,"none of the faces seemed familiar.  ",38,"male","USA",0,0,0,1,0
"165",4766644337377280,"S","H","A","Silhouette",35,"First off, I eliminated about 5 people that it definitely was not. Then I was left with 3 people that kind of looked like the person I saw in the video. But I was not confident that anyone of them were the person in the video. The lady third from the right looked most like the person from the video, but I was not completely sure. ",24,"male","USA",0,0,0,1,0
"166",4768901527240704,"W","L","A","F34",50,"I just guessed, I think I remember her face a little but I'm not entirely sure either.",24,"female","USA",0,0,0,0,1
"167",4770533749030912,"W","H","A","F147",75,"She looked the most similar in terms of hair style, facial features",33,"female","USA",0,0,0,0,1
"168",4772125252517888,"W","L","P","F68",75,"I tried to remember her face and hair, but it was hard to be 100% sure, but I'm fairly confident.",68,"female","USA",1,0,0,0,0
"169",4772169863135232,"W","L","A","F34",12,"I was basing it off of my memory of the person in the video and how familiar all the people looked. Admittedly, I don't feel very confident in my decision",24,"male","USA",0,0,0,0,1
"170",4773403659599872,"W","L","A","Silhouette",75,"No one in the line up looks like the original girl from the video, her features are different.",24,"female","USA",0,0,0,1,0
"171",4774218696753152,"S","L","P","F147",70,"person in office work in our office ",28,"male","USA",0,0,1,0,0
"172",4774605378027520,"S","L","A","Silhouette",65,"I tried to focus on the faces because hairstyles might be different. I didn't see anyone in the lineup that had even a slight similar face to the original actress so I determined that she was probably not in the lineup, which is more likely than not possible.",23,"male","USA",0,0,0,1,0
"173",4776753197219840,"W","L","P","F147",80,"i remember she hadwide set eyes",36,"female","USA",0,0,1,0,0
"174",4777993301917696,"W","L","A","F147",100,"I have a photographic memory. Once I see something of focus I'll never forget.",40,"male","USA",0,0,0,0,1
"175",4778727556775936,"S","L","P","F176",55,"When she looked up at the camera more directly the facial features and look to me were very similar, as well the face just stood out to me which influenced my choice as well. ",55,"male","USA",0,0,1,0,0
"176",4780454452396032,"S","H","P","F68",86,"I believe based on my recollection of the video that the facial structure of the person I chose in the lineup matches that of the person in the video based on when they looked at the camera toward the end of the video.",35,"male","USA",1,0,0,0,0
"177",4780829121183744,"W","L","A","Silhouette",40,"The women in the lineup look slightly like the woman from the original video (same dark hair, similar face shape), but I don't believe she is in that lineup",31,"male","USA",0,0,0,1,0
"178",4781158508265472,"S","L","P","F68",95,"some of the photographs were similar but I vividly remember the face in the original video I focused on the face.",37,"male","USA",1,0,0,0,0
"179",4781939655442432,"S","L","P","F147",50,"Young woman, dark hair, she just looked familiar to the girl in the video",64,"female","USA",0,0,1,0,0
"180",4782090969153536,"S","H","P","F147",50,"I based it on gut instinct and facial features. Trying not to second guess myself because they all looked so similar.",60,"female","USA",0,0,1,0,0
"181",4782560529874944,"S","H","A","F176",5,"All women in the lineup had very similar appearances and the brief glimpse of the woman in the ORIGINAL video made it difficult to have a high confidence level of picking her out in this lineup. I just chose the face that seemed closest to my recollection of her face.",63,"male","USA",0,0,0,0,1
"182",4783787883888640,"W","H","P","F68",90,"I mainly remember the hairstyle being wavy and not too organized. I based it mainly off of that. ",26,"male","USA",1,0,0,0,0
"183",4785843378061312,"W","H","P","F134",50,"I chose from what I could remember from the video.",27,"male","USA",0,0,1,0,0
"184",4786651955986432,"W","L","P","Silhouette",20,"I just looked at the faces very closely and tried to see if I recognized anyone.",39,"male","USA",0,1,0,0,0
"185",4787470365360128,"S","H","P","F68",50,"I noted the color and length of hair; also the style. I am not positive about the face but this one looks the closest to what I remembered.",50,"female","USA",1,0,0,0,0
"186",4787850067312640,"W","L","A","F147",51,"She looked like the girl in the original photo based on her facial features. I think the eyes and cheekbones were close.",39,"male","USA",0,0,0,0,1
"187",4788494631174144,"W","H","P","F147",50,"I was trying to remember specific features and face shape, eyes. I used my memory.",37,"female","USA",0,0,1,0,0
"188",4789947336753152,"W","L","P","F68",98,"Because she has the same look on her face like she really wants nothing more then to go home and climb into bed and be lazy for the day lol",39,"female","USA",1,0,0,0,0
